SKU Name,SKU,Brand,Category
Lazarus Naturals Relaxation Capsules / 5000mg,810061152019,Lazarus Naturals,CBD
Elderberry Syrup,10753,Elderberry Source,Other Supplements
TRE House Magic Mushroom Disposable Vape / Pink Lemonade,810135374736,TRE House,Mushrooms
"Puffy Super Blend Disposable Vape, Cream Pie",850041784236,Puffy,THC
"Enjoy CBD Destress Gummies, 1800mg",196852748518,Enjoy Hemp,CBD
Club 13 Maeng Da Green 950mg,828000003292,Club 13,Kratom
3CHI THCv Vape Cartridge / Blue Dream,810078831532,3CHI,THC
Mellow Fellow D9:CBD 800mg Gummies - Apple Rings,810121205396,Mellow Fellow,THC
Kratom Kraft Tea / Guava Dream,11021,Wlvs Den,Kratom
Steding & Son Lightspeed Laserbrain Capsules,765464903433,Steding & Son,Mushrooms
Happy Shaman THCA Flower Lemon Chello Sativa 3.5g Jar,880143289446,Happy Shaman,THC
Enjoy Delta-8 Vape Cartridge / Pineapple Express,753215567553,Enjoy Hemp,THC
Boss Kava Capsules / Vanuatu (50g),700598111132,Boss Kava,Kava
Magic Kingdom'Magic Blend Peppermint Bark Chocolate Bar,18864,Magic Kingdom,Mushrooms
"Phuk' Up THC Gummy, 420mg / Watermelon Zittle",630504433280,The Hemp Doctor,THC
Lunchbox Alchemy THC-Free Gummies / 1500mg,855814008595,Lunchbox Alchemy,CBD
OPMS Silver Kratom Powder / White Indo (4oz),650075994423,OPMS,Kratom
Mission Lago Farms Suver Haze Preroll 2-pack (Hybrid),667619653500,Mission Lago Farms,CBD
Freed Delta-8 THC Cigarettes,686162992868,,
OPMS Silver Kratom Powder / Super Green Borneo (16oz),650075994317,OPMS,Kratom
"Club13 kratom, powder, bliss blend, 2000mg",828000005210,Club13,Kratom
Happy Shaman THCA Flower OG Sativa 3.5g Jar,880143289445,Happy Shaman,THC
Cannabolish Odor Remover Candle,816920002327,Cannabolish,Misc
Treetop Hemp Co. Delta-10 Disposable Vape / Skywalker OG,755003856634,Treetop Hemp Co.,THC
Yocan UNI PRO Battery / Pink,6971154225363,Yocan,Accessories
OPMS Silver Kratom Capsule Blister Pack / White Indo (64ct),650075994409,OPMS,Kratom
"Space Gods Space Gummies, 900mg D9+CBD, Watermelon",810133320308,Space Gods,THC
Puffco Peak Atomizer,851788007237,Puffco,Accessories
Mellow Fellow THCP&HHH Duo Carts - Truffle butter & Sundae driver,810121203996,Mellow Fellow,THC
Hyppo Popsicle / Peanut Butter Pie,11583,Hyppo,Misc
North Gummies 5mg THC Gummies / Strawberry,860009819067,North Higher Vibes,THC
Gold Naturals Relief & Control CBD D9 Gummy / Orange Raspberry,850027375854,Gold Naturals,CBD
"Jelly THCA/THCP Live Rosin Cartridge, Fruity Pebbles",794136798138,Not Your Bakery,THC
"Hidden Hills Keylime Fest, carteidge, THCA, THCP, D9, sativa",679625745483,Hidden Hills,THC
Lunchbox Alchemy Full Spectrum Gummies / De-stress (250mg),812756023192,Lunchbox Alchemy,CBD
"Deltiva Elite Elite Delat9 THC CBD gummies, grape, 500mg CBD 50mg D9",828000021388,Deltiva Elite,THC
Seamoss Digestive Support Gel,10745,Seamoss Prime,Other Supplements
Kr8om Premium Leaf Powder Green Maeng Da,856987005381,Kr8om,Kratom
HMP Menstrual Cramp Relief / Roll-On,793888230071,HMP,CBD
Silly Farms Cinnamagic,NoSKU093476,Silly Farms,Mushrooms
Natural Life Kratom Powder / Dark Green Borneo,10316,Natural Life,Kratom
Gram Co Delta-8 Gummies / Fruit Punch,850007935573,Gram Co,THC
North Gummies 5mg THC Gummies / Berry Lemonade,860009819030,North Higher Vibes,THC
Natural Life Kratom Capsules / Super Red,11674,Natural Life,Kratom
Mushroom Lyfe Gummies Mind Bending Euphoric Blend / Green Apple 10ct,11846,Mushroom Lyfe,Mushrooms
"Crystal Creek Organics CBD Pet Treats,  400mg / Salmon",857352008815,Crystal Creek Organics,
OPMS Silver Kratom Powder / Green Thai (1oz),700598112320,OPMS,Kratom
Natural Life Mushroom Gummies / 8ct,850047961075,Natural Life,Mushrooms
Hhemp co 2 ct pack chief stix hhc hemp smokes sour tangie+lemon jack,850041529448,HHemp,THC
"Sunny Skies CBD CBD Cream, salve, laverder, 300mg",810034261137,Sunny Skies CBD,CBD
cbdMD Broad Spectrum Tinctures / Mint (1500mg/60mL),810271030183,cbdMD,CBD
3CHI D8 vape cart - gelato,850005759225,3CHI,THC
URB URB 1:1 THC CBD 750mg Tropical Lush Gummies,810088845734,URB,THC
Crooked THC Sparkling Tonic / 10mg / Strawberry Basil,12439,Crooked,Drinks
Raw Classic King Size Slim,716165177357,Raw,Accessories
North Florida Hemp Farms CBD Flower / Queen Dream (3.5g),656874989578,North Florida Hemp Farms,CBD
Smilyn Smilyn Lemon Citrus 10mg Delta 9 THC + 10mg CBD,810094320393,Smilyn,THC
Kratom Kaps Capsule Bottle / Red Bali (100ct),700598111798,Kratom Kaps,Kratom
Green Roads Roll-On / Heat (750mg),644216815586,Green Roads,CBD
Natural Life Kava Extract Powder,100000000205,,Kava
Crooked THC Sparkling Tonic / 5mg / Blood Orange,12436,Crooked,Drinks
"Sunny Skies CBD Full Spectrum Tincture, 1500mg / Vanilla",810034260116,Sunny Skies CBD,CBD
"Long coast, 5mg THC 5mg CBD / Whiskey Peach Cobbler",699838980891,Long coast,THC
Natural Life Kratom Powder / Red Sunda,11429,Natural Life,Kratom
OPMS Silver Kratom Capsule Blister Pack / Red Sumatra (32ct),650075994157,OPMS,Kratom
"Mary Jones Root beer, soda, 9.9mg D9 thc",620221420083,Mary Jones,THC
"HiXotic THCA Sugar Cartridges, 2g / Blueberry AK47",810096582447,HiXotic,THC
Gram Co Delta-8 Disposable Vape / Girl Scout Cookies (0.5mL),850007935535,Gram Co,THC
Mellow Fellow M-Fusion D9 & CBD Gummies / Yuzu Honeydew / 10ct,12619,Mellow Fellow,THC
Cookies Delta 8 Honey Bun Vape,840071906692,Cookies,THC
"Puffy Super Blend Disposable Vape, Space Cadet",850036927136,Puffy,THC
"Kandy Coated Infused gummies, cherry lemon, euphoria blend, 20mg D9, 5mg THCP, 200mg lions mane",NoSku12005,Kandy Coated,THC
Treeline Full Spectrum Delta 9/CBD gummies - Watermelon,850040885828,Treeline,THC
"Green Roads Green Roads Relax Bears CBD Gummies, 250mg",793888348066,Green Roads,CBD
21 Cannabis 21 Cannabis THCA Liquid Diamonds Disposable Vape - Grape Soda Vape,810121209165,21 Cannabis,THC
Seamoss Lemonade,10748,Seamoss Prime,Drinks
Pure P's Black Market Edition P's Gel Jeffe,683723248166,Pure P's,THC
"The Hemp Doctor D9 Gummies, 50mg 2ct / Pineapple",689908385596,The Hemp Doctor,THC
White RabbitÂ  Kratom seltzer / Raspberry Lemonade,860011318859,White Rabbit,Drinks
Rowe Casa Organics Bath Balm - Muscle Relief,850008995330,Rowe Casa Organics,Other Supplements
Purple Mushroom Enhanced Microdose Gummies 5PK,111992938483,Purple Mushroom,Mushrooms
Steding & Son Non Ass Liquid Helps Prevent Hangovers,765464903426,Steding & Son,Mushrooms
"Not Your Bakery Dual Disposable Vape, Let's Go Live Resin, Hybrid",892773937498,Not Your Bakery,THC
Modern Herb Co Live Resin/Delta 9 Sour Apple Hybrid Gummies,850044724772,Modern Herb Co,THC
King Kratom Extract Capsules / 120ct,631112489133,King Kratom,Kratom
Modern Herb Co / Golden Goat - Focus Flow,850054129789,Modern Herb Co,THC
URB Delta-9/HHC Single Serve Chocolate / Toffee,810088841972,URB,THC
Flying Monkey 420 Gummies Grape | (2ct) 840mg,11924201015,Flying Monkey,
The Kratom Company Red Bali Powder / 3oz,850039871030,The Kratom Company,Kratom
Leilo Kava Root Calming Liquid Drops,850031385542,Leilo,THC
Tyson Mike Bites Black Eye Berry,850043583004,Tyson Mike Bites,THC
NuLeaf 600mg Full Spectrum CBD:CBN Gummie,810088950957,NuLeaf,CBN
3chi true strains pod delta 8 cruise control,810099264265,3CHI,THC
GT's Synergy Raw Organic Kombucha / Gingerberry,722430600161,Synergy Raw Kombucha,Drinks
"Live Resin Delta 9 Knockout Gummy: Oregon Huckleberry, 1ct",850054129376,,
Steve Groods CBD+CBG 2500mg Tincture - Watermelon,850008955532,Steve Groods,CBD
Natural Life Premium Hemp Flower / Sour Space Candy,10495,Natural Life,CBD
Elyxr Hybrid Live Resin THCA Disposable Vape - Trixx,32143,Elyxr,THC